"File","Title","DescLen","Canonical","H1","HashHref","TargetBlank","InternalBlank","KeywordsMeta","OGT","OGD","LocalSchema","OrgSchema","FAQSchema","ServiceSchema","BreadcrumbSchema","StrangeHead"
"pelatihan-website-coding-ai.html","Pelatihan Website, Coding & AI | Radar Kediri Institute","187","https://rkinstitute.id/pelatihan-website-coding-ai.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"pemilu-osis-demokrasi-pelajar.html","Pemilu OSIS & Demokrasi Pelajar | Radar Kediri Institute","170","https://rkinstitute.id/pemilu-osis-demokrasi-pelajar.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"pengelolaan-media-sekolah.html","Pengelolaan Media Sekolah & Kampus (School Media to Manage) | Radar Kediri Institute","179","https://rkinstitute.id/pengelolaan-media-sekolah.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"politics-government-studies.html","Politics & Government Studies for Students | Radar Kediri Institute","159","https://rkinstitute.id/politics-government-studies.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"portofolio.html","Portofolio - RK Institute","76","https://rkinstitute.id/portofolio.html","1","13","6","0","True","True","True","False","True","False","False","False","True"
"privacy.html","Kebijakan Privasi - RK Institute","187","https://rkinstitute.id/privacy.html","1","2","6","0","True","True","True","False","True","False","False","False","False"
"program-magang-digital-marketing-jurnalistik-kediri.html","Program Magang Mahasiswa: RK Institute dan GM Academy Cetak 30 Talenta Kreatif Unggulan di Kediri","207","https://rkinstitute.id/program-magang-digital-marketing-jurnalistik-kediri.html","1","5","11","5","True","True","True","False","True","False","False","False","False"
"service.html","Layanan - Radar Kediri Institute","92","https://rkinstitute.id/service.html","1","1","30","24","True","True","True","False","True","False","False","False","True"
"strategi-juara-kka-radar-kediri-kalahkan-ratusan-finalis.html","Strategi Juara KKA Radar Kediri: Kalahkan Ratusan Finalis & Raih Medali","237","https://rkinstitute.id/strategi-juara-kka-radar-kediri-kalahkan-ratusan-finalis","1","5","10","4","True","True","True","False","True","True","False","False","False"
"student-journalist-trip.html","Student Journalist Trip – Pelatihan Jurnalistik Lapangan untuk Pelajar | Radar Kediri Institute","180","https://rkinstitute.id/student-journalist-trip.html","1","1","9","0","True","True","True","False","False","True","False","False","True"
"terms.html","Ketentuan Layanan - RK Institute","150","https://rkinstitute.id/terms.html","1","2","7","0","True","True","True","False","True","False","False","False","False"
"training-sosial-media-branding.html","Pelatihan Strategi Media Sosial & Branding | Radar Kediri Institute","163","https://rkinstitute.id/training-sosial-media-branding.html","1","1","7","0","True","True","True","False","True","True","False","False","True"
